month,product,n
2018-06,"Money transfer, virtual currency, or money service",388
2018-06,Mortgage,1885
2018-06,"Payday loan, title loan, or personal loan",344
2018-06,Student loan,664
2018-06,Vehicle loan or lease,455
2018-07,Checking or savings account,1814
2018-07,Credit card or prepaid card,1986
2018-07,"Credit reporting, credit repair services, or other personal consumer reports",9136
2018-07,"Money transfer, virtual currency, or money service",347
2018-07,Mortgage,2015
2018-07,"Payday loan, title loan, or personal loan",344
2018-07,Student loan,821
2018-07,Vehicle loan or lease,491
2018-08,Checking or savings account,1695
2018-08,Credit card or prepaid card,2128
2018-08,"Credit reporting, credit repair services, or other personal consumer reports",9447
2018-08,Debt collection,4403
2018-08,"Money transfer, virtual currency, or money service",367
2018-08,"Payday loan, title loan, or personal loan",385
2018-08,Student loan,732
2018-08,Vehicle loan or lease,469
2018-09,Checking or savings account,1669
2018-09,Credit card or prepaid card,1819
2018-09,"Credit reporting, credit repair services, or other personal consumer reports",8400
2018-09,"Money transfer, virtual currency, or money service",300
2018-09,Mortgage,1779
2018-09,"Payday loan, title loan, or personal loan",305
2018-09,Student loan,653
2018-09,Vehicle loan or lease,461
2018-10,Checking or savings account,1902
2018-10,Credit card or prepaid card,2129
2018-10,"Credit reporting, credit repair services, or other personal consumer reports",9846
2018-10,"Money transfer, virtual currency, or money service",356
2018-10,Mortgage,1966
2018-10,"Payday loan, title loan, or personal loan",449
2018-10,Student loan,667
2018-10,Vehicle loan or lease,490
2018-11,Credit card or prepaid card,1833
2018-11,"Credit reporting, credit repair services, or other personal consumer reports",8927
2018-11,Debt collection,3343
2018-11,"Money transfer, virtual currency, or money service",304
2018-11,Mortgage,1634
2018-11,"Payday loan, title loan, or personal loan",316
2018-11,Student loan,570
2018-11,Vehicle loan or lease,402
2018-12,Checking or savings account,1801
2018-12,Credit card or prepaid card,1818
2018-12,"Credit reporting, credit repair services, or other personal consumer reports",8362
2018-12,Debt collection,3255
2018-12,"Money transfer, virtual currency, or money service",332
2018-12,Mortgage,1617
2018-12,"Payday loan, title loan, or personal loan",316
2018-12,Student loan,631
2018-12,Vehicle loan or lease,412
2019-01,Checking or savings account,1795
2019-01,"Credit reporting, credit repair services, or other personal consumer reports",8512
2019-01,Debt collection,3126
2019-01,"Money transfer, virtual currency, or money service",343
2019-01,Mortgage,1779
2019-01,"Payday loan, title loan, or personal loan",324
2019-01,Student loan,759
2019-01,Vehicle loan or lease,383
2019-02,Checking or savings account,1623
2019-02,Credit card or prepaid card,1889
2019-02,"Credit reporting, credit repair services, or other personal consumer reports",9361
2019-02,Debt collection,3785
2019-02,"Money transfer, virtual currency, or money service",334
2019-02,Mortgage,1749
2019-02,"Payday loan, title loan, or personal loan",292
2019-02,Student loan,727
2019-02,Vehicle loan or lease,434
2019-03,Checking or savings account,1820
2019-03,Credit card or prepaid card,2225
2019-03,"Credit reporting, credit repair services, or other personal consumer reports",10999
2019-03,Debt collection,4224
2019-03,"Money transfer, virtual currency, or money service",415
2019-03,"Payday loan, title loan, or personal loan",389
2019-03,Student loan,796
2019-03,Vehicle loan or lease,530
2019-04,Checking or savings account,1817
2019-04,Credit card or prepaid card,2150
2019-04,"Credit reporting, credit repair services, or other personal consumer reports",11057
2019-04,Debt collection,3977
2019-04,"Money transfer, virtual currency, or money service",398
2019-04,Mortgage,1993
2019-04,"Payday loan, title loan, or personal loan",333
2019-04,Student loan,705
2019-04,Vehicle loan or lease,475
2019-05,Checking or savings account,1876
2019-05,Credit card or prepaid card,2139
2019-05,"Credit reporting, credit repair services, or other personal consumer reports",11918
2019-05,Debt collection,4129
2019-05,"Money transfer, virtual currency, or money service",456
2019-05,Mortgage,1945
2019-05,"Payday loan, title loan, or personal loan",338
2019-05,Student loan,579
2019-05,Vehicle loan or lease,461
2019-06,Checking or savings account,1813
2019-06,Credit card or prepaid card,2153
2019-06,"Credit reporting, credit repair services, or other personal consumer reports",11739
2019-06,Debt collection,4043
2019-06,"Money transfer, virtual currency, or money service",420
2019-06,Mortgage,1856
2019-06,"Payday loan, title loan, or personal loan",336
2019-06,Student loan,533
2019-06,Vehicle loan or lease,442
2019-07,Checking or savings account,1843
2019-07,Credit card or prepaid card,2232
2019-07,"Credit reporting, credit repair services, or other personal consumer reports",13002
2019-07,Debt collection,4005
2019-07,"Money transfer, virtual currency, or money service",472
2019-07,Mortgage,2012
2019-07,"Payday loan, title loan, or personal loan",406
2019-07,Student loan,587
2019-07,Vehicle loan or lease,511
2019-08,Checking or savings account,2062
2019-08,Credit card or prepaid card,2310
2019-08,"Credit reporting, credit repair services, or other personal consumer reports",13518
2019-08,Debt collection,4219
2019-08,"Money transfer, virtual currency, or money service",480
2019-08,"Payday loan, title loan, or personal loan",421
2019-08,Student loan,523
2019-08,Vehicle loan or lease,475
2019-09,Checking or savings account,1759
2019-09,Credit card or prepaid card,2138
2019-09,"Credit reporting, credit repair services, or other personal consumer reports",12089
2019-09,Debt collection,3973
2019-09,"Money transfer, virtual currency, or money service",467
2019-09,Mortgage,1857
2019-09,"Payday loan, title loan, or personal loan",350
2019-09,Student loan,469
2019-09,Vehicle loan or lease,463
2019-10,Checking or savings account,1936
2019-10,"Credit reporting, credit repair services, or other personal consumer reports",13211
2019-10,Debt collection,4015
2019-10,"Money transfer, virtual currency, or money service",483
2019-10,Mortgage,2069
2019-10,"Payday loan, title loan, or personal loan",429
2019-10,Student loan,622
2019-10,Vehicle loan or lease,502
2019-11,Checking or savings account,1717
2019-11,Credit card or prepaid card,2177
2019-11,"Credit reporting, credit repair services, or other personal consumer reports",11845
2019-11,"Money transfer, virtual currency, or money service",391
2019-11,Mortgage,1717
2019-11,"Payday loan, title loan, or personal loan",369
2019-11,Student loan,490
2019-11,Vehicle loan or lease,419
2019-12,Checking or savings account,1673
2019-12,Credit card or prepaid card,2148
2019-12,"Credit reporting, credit repair services, or other personal consumer reports",11305
2019-12,Debt collection,3321
2019-12,"Money transfer, virtual currency, or money service",423
2019-12,Mortgage,1687
2019-12,"Payday loan, title loan, or personal loan",331
2019-12,Student loan,418
2019-12,Vehicle loan or lease,390
2020-01,Checking or savings account,1845
2020-01,Credit card or prepaid card,2401
2020-01,"Credit reporting, credit repair services, or other personal consumer reports",14846
2020-01,Debt collection,3759
2020-01,"Money transfer, virtual currency, or money service",391
2020-01,"Payday loan, title loan, or personal loan",322
2020-01,Student loan,534
2020-01,Vehicle loan or lease,461
2020-02,Checking or savings account,1725
2020-02,Credit card or prepaid card,2301
2020-02,"Credit reporting, credit repair services, or other personal consumer reports",13601
2020-02,Debt collection,3971
2020-02,"Money transfer, virtual currency, or money service",389
2020-02,Mortgage,1825
2020-02,"Payday loan, title loan, or personal loan",331
2020-02,Student loan,488
2020-02,Vehicle loan or lease,448
2020-03,Checking or savings account,1682
2020-03,Credit card or prepaid card,2433
2020-03,"Credit reporting, credit repair services, or other personal consumer reports",17219
2020-03,Debt collection,4199
2020-03,Mortgage,2136
2020-03,"Payday loan, title loan, or personal loan",387
2020-03,Student loan,476
2020-03,Vehicle loan or lease,487
2020-04,Checking or savings account,2022
2020-04,Credit card or prepaid card,3171
2020-04,"Credit reporting, credit repair services, or other personal consumer reports",20811
2020-04,Debt collection,4506
2020-04,"Money transfer, virtual currency, or money service",636
2020-04,Mortgage,2201
2020-04,"Payday loan, title loan, or personal loan",426
2020-04,Student loan,473
2020-04,Vehicle loan or lease,548
2020-05,Checking or savings account,1902
2020-05,Credit card or prepaid card,3161
2020-05,Debt collection,4420
2020-05,"Money transfer, virtual currency, or money service",739
2020-05,Mortgage,1904
2020-05,"Payday loan, title loan, or personal loan",376
2020-05,Student loan,393
2020-05,Vehicle loan or lease,574
2020-06,Checking or savings account,2390
2020-06,Credit card or prepaid card,3125
2020-06,"Credit reporting, credit repair services, or other personal consumer reports",23454
2020-06,Debt collection,4427
2020-06,"Money transfer, virtual currency, or money service",1153
2020-06,Mortgage,2009
2020-06,"Payday loan, title loan, or personal loan",413
2020-06,Student loan,316
2020-06,Vehicle loan or lease,601
2020-07,Checking or savings account,2524
2020-07,Credit card or prepaid card,3057
2020-07,"Credit reporting, credit repair services, or other personal consumer reports",25549
2020-07,Debt collection,4848
2020-07,"Money transfer, virtual currency, or money service",1181
2020-07,Mortgage,2132
2020-07,"Payday loan, title loan, or personal loan",403
2020-07,Student loan,310
2020-07,Vehicle loan or lease,635
2020-08,Checking or savings account,2086
2020-08,Credit card or prepaid card,2943
2020-08,"Credit reporting, credit repair services, or other personal consumer reports",25266
2020-08,Debt collection,4733
2020-08,"Money transfer, virtual currency, or money service",830
2020-08,Mortgage,2091
2020-08,"Payday loan, title loan, or personal loan",329
2020-08,Student loan,284
2020-08,Vehicle loan or lease,625
2020-09,Checking or savings account,2102
2020-09,Credit card or prepaid card,2856
2020-09,"Credit reporting, credit repair services, or other personal consumer reports",25969
2020-09,Debt collection,4722
2020-09,"Money transfer, virtual currency, or money service",583
2020-09,Mortgage,2330
2020-09,"Payday loan, title loan, or personal loan",340
2020-09,Student loan,247
2020-09,Vehicle loan or lease,726
2020-10,Checking or savings account,2051
2020-10,Credit card or prepaid card,2879
2020-10,"Credit reporting, credit repair services, or other personal consumer reports",29976
2020-10,Debt collection,4936
2020-10,"Money transfer, virtual currency, or money service",601
2020-10,Mortgage,2241
2020-10,"Payday loan, title loan, or personal loan",338
2020-10,Student loan,309
2020-10,Vehicle loan or lease,644
2020-11,Checking or savings account,1753
2020-11,Credit card or prepaid card,2679
2020-11,"Credit reporting, credit repair services, or other personal consumer reports",28907
2020-11,Debt collection,4703
2020-11,"Money transfer, virtual currency, or money service",574
2020-11,"Payday loan, title loan, or personal loan",257
2020-11,Student loan,270
2020-11,Vehicle loan or lease,577
2020-12,Checking or savings account,2156
2020-12,Credit card or prepaid card,2873
2020-12,"Money transfer, virtual currency, or money service",768
2020-12,Mortgage,2127
2020-12,"Payday loan, title loan, or personal loan",277
2020-12,Student loan,285
2020-12,Vehicle loan or lease,645
2021-01,Checking or savings account,2335
2021-01,Credit card or prepaid card,2792
2021-01,"Credit reporting, credit repair services, or other personal consumer reports",28088
2021-01,Debt collection,5020
2021-01,"Money transfer, virtual currency, or money service",784
2021-01,Mortgage,2189
2021-01,"Payday loan, title loan, or personal loan",284
2021-01,Student loan,345
2021-01,Vehicle loan or lease,638
2021-02,Checking or savings account,2191
2021-02,Credit card or prepaid card,2740
2021-02,"Money transfer, virtual currency, or money service",1094
2021-02,Mortgage,2333
2021-02,"Payday loan, title loan, or personal loan",311
2021-02,Student loan,339
2021-02,Vehicle loan or lease,598
2021-03,Checking or savings account,2761
2021-03,Credit card or prepaid card,3086
2021-03,"Credit reporting, credit repair services, or other personal consumer reports",22527
2021-03,Debt collection,6740
2021-03,"Money transfer, virtual currency, or money service",1715
2021-03,"Payday loan, title loan, or personal loan",357
2021-03,Student loan,377
2021-03,Vehicle loan or lease,695
2021-04,Credit card or prepaid card,2557
2021-04,"Money transfer, virtual currency, or money service",1710
2021-04,"Payday loan, title loan, or personal loan",363
2021-04,Student loan,331
2021-04,Vehicle loan or lease,618
2021-05,Checking or savings account,2711
2021-05,Credit card or prepaid card,2368
2021-05,"Credit reporting, credit repair services, or other personal consumer reports",25409
2021-05,Debt collection,5429
2021-05,"Money transfer, virtual currency, or money service",1748
2021-05,Mortgage,2324
2021-05,"Payday loan, title loan, or personal loan",389
2021-05,Student loan,276
2021-05,Vehicle loan or lease,658
2021-06,Checking or savings account,2312
2021-06,Credit card or prepaid card,2310
2021-06,"Money transfer, virtual currency, or money service",1384
2021-06,Mortgage,2172
2021-06,"Payday loan, title loan, or personal loan",341
2021-06,Student loan,268
2021-06,Vehicle loan or lease,660
2021-07,Checking or savings account,2337
2021-07,Credit card or prepaid card,2522
2021-07,"Credit reporting, credit repair services, or other personal consumer reports",28729
2021-07,Debt collection,7172
2021-07,"Money transfer, virtual currency, or money service",890
2021-07,Mortgage,1993
2021-07,"Payday loan, title loan, or personal loan",395
2021-07,Student loan,388
2021-07,Vehicle loan or lease,649
2021-08,Checking or savings account,2471
2021-08,Credit card or prepaid card,2526
2021-08,"Credit reporting, credit repair services, or other personal consumer reports",27222
2021-08,Debt collection,6058
2021-08,"Money transfer, virtual currency, or money service",914
2021-08,Mortgage,2052
2021-08,"Payday loan, title loan, or personal loan",337
2021-08,Student loan,367
2021-08,Vehicle loan or lease,637
2021-09,Credit card or prepaid card,2585
2021-09,"Credit reporting, credit repair services, or other personal consumer reports",25209
2021-09,Debt collection,5881
2021-09,"Money transfer, virtual currency, or money service",865
2021-09,Mortgage,2059
2021-09,"Payday loan, title loan, or personal loan",371
2021-09,Student loan,318
2021-09,Vehicle loan or lease,718
2021-10,Credit card or prepaid card,2880
2021-10,"Credit reporting, credit repair services, or other personal consumer reports",23704
2021-10,"Money transfer, virtual currency, or money service",910
2021-10,Mortgage,2093
2021-10,"Payday loan, title loan, or personal loan",396
2021-10,Student loan,420
2021-10,Vehicle loan or lease,720
2021-11,Checking or savings account,2460
2021-11,Credit card or prepaid card,2731
2021-11,"Credit reporting, credit repair services, or other personal consumer reports",23940
2021-11,Debt collection,5702
2021-11,"Money transfer, virtual currency, or money service",949
2021-11,Mortgage,1867
2021-11,"Payday loan, title loan, or personal loan",403
2021-11,Student loan,363
2021-11,Vehicle loan or lease,654
2021-12,Checking or savings account,2714
2021-12,Credit card or prepaid card,2725
2021-12,"Credit reporting, credit repair services, or other personal consumer reports",31294
2021-12,Debt collection,4936
2021-12,Student loan,334
2022-01,Checking or savings account,2960
2022-01,Credit card or prepaid card,3117
2022-01,Debt collection,5072
2022-01,"Money transfer, virtual currency, or money service",1019
2022-01,"Payday loan, title loan, or personal loan",454
2022-01,Student loan,568
2022-02,Checking or savings account,3003
2022-02,Credit card or prepaid card,3189
2022-02,"Credit reporting, credit repair services, or other personal consumer reports",36534
2022-02,Debt collection,5509
2022-02,"Money transfer, virtual currency, or money service",883
2022-02,Mortgage,2213
2022-02,"Payday loan, title loan, or personal loan",511
2022-02,Student loan,602
2022-02,Vehicle loan or lease,741
2022-03,Checking or savings account,3357
2022-03,Credit card or prepaid card,3342
2022-03,Debt collection,6108
2022-03,"Money transfer, virtual currency, or money service",1110
2022-03,"Payday loan, title loan, or personal loan",542
2022-03,Student loan,658
2022-03,Vehicle loan or lease,701
2022-04,Credit card or prepaid card,3252
2022-04,"Money transfer, virtual currency, or money service",1178
2022-04,"Payday loan, title loan, or personal loan",492
2022-04,Student loan,615
2022-04,Vehicle loan or lease,764
2022-05,Checking or savings account,2841
2022-05,Credit card or prepaid card,2638
2022-05,"Money transfer, virtual currency, or money service",1152
2022-05,Mortgage,1793
2022-05,"Payday loan, title loan, or personal loan",415
2022-05,Student loan,413
2022-05,Vehicle loan or lease,593
2022-06,Checking or savings account,2808
2022-06,Credit card or prepaid card,3060
2022-06,Debt collection,4539
2022-06,"Money transfer, virtual currency, or money service",1003
2022-06,Mortgage,1793
2022-06,"Payday loan, title loan, or personal loan",393
2022-06,Student loan,430
2022-06,Vehicle loan or lease,571
2022-07,Checking or savings account,3056
2022-07,"Credit reporting, credit repair services, or other personal consumer reports",49215
2022-07,Debt collection,4377
2022-07,"Money transfer, virtual currency, or money service",1192
2022-07,"Payday loan, title loan, or personal loan",449
2022-07,Student loan,462
2022-07,Vehicle loan or lease,589
2022-08,Checking or savings account,3431
2022-08,Credit card or prepaid card,3752
2022-08,Debt collection,4961
2022-08,"Money transfer, virtual currency, or money service",1300
2022-08,Mortgage,2019
2022-08,"Payday loan, title loan, or personal loan",505
2022-08,Student loan,601
2022-08,Vehicle loan or lease,757
2022-09,Checking or savings account,3187
2022-09,Credit card or prepaid card,3542
2022-09,"Money transfer, virtual currency, or money service",1202
2022-09,Mortgage,1783
2022-09,"Payday loan, title loan, or personal loan",560
2022-09,Student loan,1120
2022-09,Vehicle loan or lease,740
2022-10,Credit card or prepaid card,3551
2022-10,Debt collection,4730
2022-10,"Money transfer, virtual currency, or money service",1099
2022-10,Mortgage,1624
2022-10,"Payday loan, title loan, or personal loan",505
2022-10,Student loan,1354
2022-10,Vehicle loan or lease,751
2022-11,Checking or savings account,2987
2022-11,Credit card or prepaid card,3330
2022-11,"Money transfer, virtual currency, or money service",1221
2022-11,Mortgage,1518
2022-11,"Payday loan, title loan, or personal loan",462
2022-11,Student loan,609
2022-11,Vehicle loan or lease,803
2022-12,Checking or savings account,3614
2022-12,Credit card or prepaid card,3726
2022-12,"Credit reporting, credit repair services, or other personal consumer reports",68155
2022-12,Debt collection,4718
2022-12,"Money transfer, virtual currency, or money service",1175
2022-12,Mortgage,1824
2022-12,"Payday loan, title loan, or personal loan",481
2022-12,Student loan,520
2022-12,Vehicle loan or lease,933
2023-01,Credit card or prepaid card,4353
2023-01,"Money transfer, virtual currency, or money service",1269
2023-01,Mortgage,2837
2023-01,"Payday loan, title loan, or personal loan",610
2023-01,Student loan,580
2023-01,Vehicle loan or lease,1505
2023-02,Credit card or prepaid card,3961
2023-02,Debt collection,5250
2023-02,"Money transfer, virtual currency, or money service",1066
2023-02,Mortgage,2165
2023-02,"Payday loan, title loan, or personal loan",563
2023-02,Student loan,528
2023-02,Vehicle loan or lease,1170
2023-03,Credit card or prepaid card,1511
2023-03,"Money transfer, virtual currency, or money service",368
2023-03,Mortgage,743
2023-03,"Payday loan, title loan, or personal loan",204
2023-03,Student loan,175
2023-03,Vehicle loan or lease,373
